word,clue
inure,Get used (to)
reg,Kind of gas: Abbr.
fore,Driver's warning?
snowden,Man who went into self-imposed exile in 2013
orestes,Electra's brother
ken,Understanding
oks,Some nods
avion,Par ___
nails,They might be painted in a bathroom
ops,Ending with psy-
ices,Boardwalk purchases
relet,Rent again
een,Poetic time of day
obey,Not question
rennet,Need for curdling milk into cheese
tits,Little birds
wines,They come with bouquets
xed,"Voted, in a way"
cress,Salad greenery
galas,Bashes
madams,Ladies
ars,Married couple?
relic,Antiquary's acquisition
trails,Lags
gnus,Old World grazers
cloris,She played Phyllis on TV
leeds,"""Traffic Crossing ___ Bridge"" (pioneering 1888 film footage)"
cry,1951 Johnnie Ray hit
nosed,"Pried, with ""in"""
imet,"""___ a man who wasn't there"""
psats,Some H.S. exams
ass,"Intensifying suffix, in modern slang"
muds,Mucks
lets,Do-overs
adorned,Trimmed
redress,Set right
intow,Behind
dem,"On the left, for short"
val,Actor Kilmer
hows,"""___ that again?"""
extras,Ones who are never billed?
reve,Vision de nuit
efts,Some newts
teaor,"""Coffee, ___ Me?"""
uber,"Modern prefix meaning ""super"""
envelop,Wrap
toner,Copier need
dean,Campus V.I.P.
redoak,Some hardwood
opus,"Symphony, e.g."
closets,Small parts of floor plans
opts,Decides
efts,Little salamanders
impale,Skewer
primer,First-grade book
bevy,Group of quail
rims,What eyeglass lenses fit in
xrated,Beyond suggestive
info,Data
ilied,An admission of guilt
ross,"Nellie ___, first female state governor"
tops,A-one
surfed,Went through channels?
ned,"Beatty of ""Deliverance"""
ssgts,Some Army NCO's
stats,Game recap figures
dans,In: Fr.
hennas,Leatherworking dyes
blurts,Says impulsively
japes,Mocks
reap,Gather
nos,ZIP codes: Abbr.
tests,Hospital bill list
stats,Sports buff's memorization
messes,Pickles
rtes,Some P.O. plans
unc,Chapel Hill sch.
rend,Split
tints,Slight colors
unzip,"Expand, as a compressed file"
infra,Red leader?
aten,Egyptian sun disk
arness,Marshal Dillon's portrayer
unalert,"Distracted, maybe"
bowler,Hat that may be tipped
ahs,"""I get it"" responses"
mist,Fog
tvs,RCA products
inrem,How some legal proceedings are conducted
errors,"Using ""effect"" for ""affect"" and vice versa"
died,Quit running
loureed,"""Walk on the Wild Side"" singer"
ser,Sabbath msg.
unc,Short family member?
groaner,"""I started a boat-building business in my attic ... Now sails are going through the roof,"" e.g."
ores,Unrefined cartfuls
ops,Photo finish?
ual,Delta competitor: Abbr.
uses,Exploits
tunas,Fish often destined for cans
neer,Not e'en once
resole,Do some cobbling work on
styes,Lid afflictions
unch,"Not up or down, as a stock price: Abbr."
loots,Despoils
ars,Some seen in mirrors?
ouis,French assents
perks,"Corner offices and prime parking spots, for company V.I.P.s"
for,Pro
eros,"Oscar Wilde poem ""The Garden of ___"""
hos,Sounds from Santa
lien,Property claim
rains,Spring events
int,Passbook entry: Abbr.
emu,Lean meat
swayer,Influential one
anxious,White-knuckled
mess,Imbroglio
snooty,High-hat
moseys,Ambles
arles,"""Bedroom at ___"" (classic painting)"
incan,Like the buildings at Machu Picchu
untie,"Loosen, in a way"
rider,Amendment
atlas,World record?
reruns,Familiar episodes
daly,"""What's My Line"" host John"
ccups,Features of many bras
espy,Annual TV award for athletes
metal,Get a lode of this!
les,Article in France Soir
sagas,"""Heimskringla"" et al."
bats,Nutty
emils,Oscar winner Jannings and others
glens,Secluded valleys
acned,"Benefiting from benzoyl peroxide, say"
retro,Like Nehru jackets
paints,Puts on a coat
adapts,Rolls with the punches
dyed,Like Easter eggs
errors,"""E"" on a baseball scoreboard"
ins,Connections
per,By way of
lofty,Skyscraping
lotion,Bottle in a beach bag
tetchy,Irritable
reba,McEntire of country and western
inept,All thumbs
dyes,Salon supplies
tamper,Monkey
enroll,Sign up
eased,Soothed or smoothed
idos,Sometimes-broken promises
elder,Church V.I.P.
dollops,Large spoonfuls
relee,U. S. Grant's foe
resin,Amber or copal
ops,Photo ___ (media events)
ests,Guesses: Abbr.
stds,Regulations: Abbr.
ebbs,"Subsides, as the tide"
axes,Cans
tanks,Fails utterly
rent,"""One Song Glory"" musical"
erosive,Like waves on a shoreline
awes,Bowls over
lewis,Comedian Black
ars,Start of M-G-M's motto
navy,Sub group
oxen,Some travelers along the Oregon Trail
annual,Garden variety?
ires,Gets hot
twos,Rare bills
naysay,Deny
inri,Crucifixion letters
pts,Some milk cartons: Abbr.
nets,Takes home
retro,Like some clothing styles
per,/
earls,Noblemen
enoki,Slender Japanese mushroom
leis,Gifts of flowers
nes,"""Super"" thing in games, once"
tiger,Clemson player
adder,Only poisonous snake in Britain
isms,Doctrines
snooker,Game on a table
certs,"Candy that's ""two mints in one"""
has,Harbors
uss,Letters starting a ship's name
masons,Stonewallers?
onus,Burden
girths,Round measures
laity,Church group
rewrap,"Prepare to put back in the fridge, say"
ink,"Publicity, in Variety-speak"
disc,Part of D.J.
open,Willing to listen
used,Like most books offered on AbeBooks.com
per,Unit pricing word
twos,Groups on Noah's Ark
easy,"With 84-Across, very simple"
enricos,Italian Communist Berlinguer and others
shoal,Place to run aground
chipper,Upbeat
steer,Beef on the hoof
eileen,Fisher for compliments on one's dress?
inga,TV's Swenson
mien,Appearance
ena,"""Bambi"" doe"
oared,"Boated, maybe"
onus,Unpleasant duty
arks,Torah holders
envoy,Figure in international relations
implant,Fix firmly
inaway,More or less
icepops,Fruity summer treats
elbows,Acts pushy
under,"See 20-, 36- and 48-Across"
spasms,Muscle tics
bhopal,Infamous 1984 gas leak site
lulls,Breathers
mets,"Team with ""Mr."" and ""Mrs."" mascots"
osis,Suffix with narc-
mayor,Koch memoir
desi,One-third of a 60's pop trio
une,"Maupassant novel ""___ Vie"""
carrs,"""It Must Be Him"" singer and others"
reo,Car that went defunct in 1936
rugby,Team sport with scrums
italy,Lire used to be spent here
crossed,Passed over
revs,Turns briefly?
reiser,Hunt's sitcom co-star
prez,W. or J.F.K.
jets,"""West Side Story"" gang"
order,"""That's an ___!"""
dei,Mater ___ (title for Mary)
ers,TV drama settings
eaves,Some runoff sites
wooed,Courted
alps,Range of the von Trapp singers
angles,Fishes
heaves,Launches
parlor,Word with beauty or pizza
end,Close
minis,Some skirts
eager,Breathless
hastens,Speeds up
overlie,Cover
greedy,Avaricious
loos,"London ""stops"""
irisher,Dublin native
prell,Famously green shampoo
ent,M.D. specialty
breezed,Glided effortlessly (through)
muter,Deadening device
ales,Pub quaffs
jones,Tommy Lee or James Earl
arrayed,In formation
feats,Achievements
sots,Stewbums
enid,Home of Phillips University
elses,Someone ___ (not ours)
sss,Draft org.
heed,Pay mind to
divas,Some sopranos
otter,Valuable fur
swans,"Group of ""nine-and-fifty"" in a Yeats poem"
adonis,Hunk
red,"Rubbed raw, say"
try,Have a go at
incas,Quechua speakers
dares,Reasons for some joyrides
inn,Stop by the roadside
lobby,Court in Washington
appeal,Recourse after a guilty verdict
imin,Poker player's declaration
zeus,God holding a thunderbolt
toted,Schlepped
inserts,They often fall out of magazines
libeled,"Victimized by the press, say"
ses,Parisian possessive
eer,"At any time, in poetry"
peal,Sound from a steeple
enter,Return function
yokels,Yahoos
siren,Street clearer
dips,Business slumps
ohs,Quaker cereal
ers,Where operators may be standing by: Abbr.
rotis,Indian flatbreads
adler,"Grace of ""Will & Grace"""
pajamas,Nightclothes
open,Many a tournament
joneses,Objects of envy
earths,Cerium and samarium are rare ones
anti,One opposed
epees,Touching things in competitions
tierney,"""Laura"" star, 1944"
rereads,"Studies more closely, perhaps"
glads,"Some showy blossoms, informally"
atoner,"One offering compensation, maybe"
ecoles,Tulle's schools
asides,Parenthetical text
roosts,Places to sleep
argosy,Fleet
loads,Washday units
terns,Shorebirds
yemen,Gulf of Aden land
ghosts,Ibsen play
prev,Before: Abbr.
igor,"Man's name that can follow ""v"" or ""r"" to form an English word"
heresy,Grounds for excommunication
end,Hindmost
inca,Worshiper of Inti
inkblot,Matter of interpretation
laps,Sitting spots on Santas
stay,Hang out
order,"Happy Meal with a Sprite, e.g."
ebay,Something to bid on
tier,Echelon
ochres,Earthy colors
equus,Horse genus
need,Triage consideration
end,Crusty bread slice
academy,"41-Across bestower, with ""the"""
emu,Aussie bird
daubs,Slaps on
horas,Round dances
sneers,Mocking smiles
ion,Charged particle
eaten,Devoured
ethans,Allen and Frome
images,Some are mental
axes,"x and y, on a graph"
picas,Characters of a certain type
remo,Fictional secret agent Williams
inclose,Greatly magnified
errs,Goofs
ads,Spots
foils,Some candy wrappers
imset,"""No more, thanks"""
sen,D.C. bigwig
elites,Aristocracies
penmen,Scribes
sells,Pushes
hasps,Features of some diaries
neons,Some Dodges
keels,Starting points in shipbuilding
gills,Oxygenators
artier,More Village-y
ass,Imbecile
cars,What lots have lots of
tesses,Actress Harper and others
arouses,Foments
naive,Gullible
redo,Make a change in the decor
green,Easiest rating for a ski slope
sets,"Fixes the time on, as a clock"
ability,Superhero's defining quality
inesse,Existing
lay,Amateur
sated,Filled beyond full
ssss,Deflation indication
indo,___-European
rest,Be quiet
alger,"""Ragged Dick"" author"
stables,Track adjuncts
troves,Collections
very,"With 26-Across, ""Amen!"""
enow,"Sufficient, to a bard"
depose,Boot
ory,Direct finish
sofas,TV room features
hills,Slopes
assets,Financial report heading
amos,Singer Tori
oasis,Desert sight
edys,Nestle brand
umber,"""Raw"" or ""burnt"" color"
entebbe,Ugandan site of a 1976 Israeli rescue
its,Part of fwiw
racy,Blue
amends,Peace offering
roses,Derby bouquet
eden,Shangri-la
etats,___-Unis
metes,Doles (out)
staler,Less original
tens,Second place from the right
fore,Warning at St. Andrews
ants,"Colonial workers, maybe"
ever,In any way
sass,Cause for a kid's grounding
sects,Friends and such
tried,"Took a bite, maybe"
why,See 13-Down
reps,There are 435 in Cong.
manual,How-to book
seen,"On TV, say"
toy,Mini-dog
glen,Narrow valley
ebbets,Campy's field
ores,Magnetite and bauxite
ids,Picture cards
een,Poetic adverb
oiler,Houston athlete
capes,Wardrobe supplies for Batman
soren,Philosopher Kierkegaard
loader,Machine at a demolition site
niger,Neighbor of Chad
rosins,Anti-slippage substances
ods,Some E.M.T. cases
shady,Blocked from sunlight
sss,Draft org.
res,Legal matter
emits,Gives off
rubes,Unsophisticated sorts
hayes,Compromise of 1877 figure
wetly,How fresh paint glistens
goner,Dead duck
aneed,Have ___ for
honors,A-student's conferral
reactor,Atomic pile
troy,"Paris's home, in myth"
gaiters,Skiers' leggings
oks,Gives the go-ahead
glen,Dell
dplus,Poor passing grade
cowered,Shrank
pales,"Sees a ghost, maybe"
amiss,Wacky
emus,Modern farm birds
lawns,Suburban spreads
coal,Scuttle contents
acs,"Window units, briefly"
teats,Parts of an udder
oday,Jazz singer whose surname came from pig Latin
bobsled,Olympics vehicle
shorts,Some are animated
mist,Atomizer output
viler,Nastier
dear,Costly
deader,More tired
encrypt,Make unfathomable
image,Concern of a political adviser
noisy,Like melees
indo,___-European
dior,"Who said ""A woman's perfume tells more about her than her handwriting"""
rec,"Things done for fun, for short"
aly,Hayworth husband ___ Khan
lyes,Basic solutions
crepes,Blini
noirs,"Dark films, informally"
ims,Alternatives to texts
ceded,Turned over
enamor,Win over
emo,Modern music genre
retapes,Shoots over
waxy,Like linoleum floors
dep,Passbook abbr.
yaps,Goes on and on
hams,On-air hobbyists?
nests,Egg containers
harris,"""The Abyss"" star, 1989"
hanks,"""The Ladykillers"" star, 2004"
ende,"Michael who wrote ""The Neverending Story"""
rel,Church matters: Abbr.
lancer,Cavalry member
styes,Eye sores
wigs,Options when picking locks?
nes,"Gaming debut of 1985, briefly"
uses,Operates
onion,Food item with layers
icebeer,Molson product
tats,Does hand shuttle work
user,Consumer
ness,Cape
denying,Turning down
yds,Dash units: Abbr.
tween,In amongst
aims,Intentions
sterns,Rears
lehrer,McNeil's longtime news partner
stated,Explicit
ent,Suffix with differ
tvhosts,Sean Hannity and Chris Hayes
atbay,Cornered
ewes,Milk sources
fester,Rankle
names,Stray animals don't have them
later,Procrastinator's word
minting,Moneymaking operation
weeuns,Tiny tots
try,Venture
slicers,Deli machines
birds,"Kites, e.g."
dryer,Clothesline alternative
spryer,Less muscle-bound
emails,Replies to a newsgroup
inn,Stopover
thirsty,"Desperately in need of approval, in modern slang"
play,iTunes button
say,Utter
torts,Law school course
enrage,Madden
spared,Let live
access,Hacker's achievement
eds,"Proofers, for short"
minds,They may be blown by a magician
puny,Insignificant
yds,Gridiron distance: Abbr.
redos,Second efforts
dees,Honor society no-nos
need,Penury
miserly,Scroogelike
dbls,Some substantial hits: Abbr.
lenny,Comic Bruce
dismay,Perturbation
slacks,Pants
similes,"Phrases with ""as a"" in the middle"
nas,"Lil ___ X, rapper with the 2019 #1 hit ""Old Town Road"""
sal,Gal of song
posses,Groups in westerns
nonhero,"Melville's Ishmael, e.g."
setby,Kept for later
plays,Obie candidates
avisos,"Warnings, to Juan"
ends,Extremities
pms,10 Downing St. figures
ream,Paper purchase
deere,Combine name
any,One or more
dazes,Stuns
zen,Some meditation
rains,Monsoon events
selects,Superior things
lads,Youngsters
airy,Like sponge cakes
treys,Low cards
impala,Chevy model
leered,Looked with desire
maitais,Things a bartender strains to make
infant,Baby
skys,"""The ___ the limit"""
emerald,"Like the background of the ""Wicked"" poster"
icer,Hit man
pier,Waterfront walk
pestles,Druggists' implements
collars,Nabs
alums,"Homecoming attendees, for short"
imeanit,"""Honest!"""
sodas,Round at a snack bar
scots,Glasgow residents
drums,"Solicits, with ""up"""
rotor,Helicopter blade
ten,"Perfect, in a way"
etds,"Some itinerary data, briefly"
masts,Sail supports
agates,Some marbles
harms,In ___ way
revere,Patriot Paul
onus,Burden
seers,Ball-bearing types?
teases,Come-ons
gobs,Oodles
antics,Tomfoolery
enrage,Tick off
proceed,"""Carry on"""
indeed,"""Absolutely!"""
teas,Afternoon affairs
posed,Got ready for the camera
pensive,Seriously thinking
orkney,___ Islands (Scapa Flow locale)
grass,Not Astroturf
den,Lion's home
cry,"Tally-ho, e.g."
attacks,Staple of campaign oratory
barer,Less decorated
oer,Anthem contraction
revise,Doctor
semis,Round of four
stamen,Flower's pollen holder
essen,Center of the Krupp family dynasty
yser,Belgian river
isley,Brothers' name in R&B
ken,Figure in a celebrated 2004 breakup
ally,"Arms recipient, maybe"
avis,National competitor
qbs,"Moon and Starr, for short"
bogey,One over par
otter,Animal in a lodge
asks,Seeks answers
tiered,Having multiple layers
rex,Tarquin's title
unzip,"Open, in a way"
seles,Yugoslavian-born court star
tis,"""My country, ___ of thee"""
tapas,Bar food
srs,G.R.E. takers
enron,Noted 2001 bankruptcy
nicer,More agreeable
soften,Tone down
pdfs,Many email attachments
errs,Goes off
seer,"Nostradamus, for one"
otter,Leonine : lion :: lutrine : ___
hens,Egg layers
calms,Composes
emit,Throw off
parlays,Combo bets
onramps,Freeway access points
lyes,Some strong solutions
ots,When golden goals happen in the N.H.L.
moldy,Old-fashioned
pass,Bridge declaration
erns,Diving raptors
smelts,"Refines, in a way"
leaven,Lightener
tier,Galley feature
looter,One who takes inventory?
mentor,Guide
dragged,Never seemed to end
cher,"""Moonstruck"" Oscar winner"
tulips,Dutch exports
optics,Public perception
sashes,Pageant wear
ssts,High fliers
odds,Chances
boas,Snakes that constrict
nets,Brooklyn basketball team
ree,Food writer/TV personality ___ Drummond
topten,Kind of list
per,"The ""p"" of m.p.h."
mfas,Some docents' degs.
int,"4%, say, on a bank acct."
fry,"Fix, as fritters"
abacus,You can always count on this
deer,"Animal in ""Do-Re-Mi"""
abuts,Touches
weary,Jaded
fees,Professionals' earnings
unum,Word on a U.S. coin
ipass,"""No bid"""
abies,"""___Irish Rose"""
egis,Sponsorship: Var.
cos,Bldg. directory listings
prell,Shampoo introduced by Procter & Gamble in 1947
bess,First lady between Eleanor and Mamie
ogres,Dungeons & Dragons race
oral,Kind of hygiene
eden,Location for the Fall
its,"""___ been real!"""
inon,Let ___ a secret
nabs,Catches
glass,*Jigger
xkes,Classic Jags
olds,Auto pioneer
doges,Onetime Venetian leaders
odor,Sign of decay
maced,Attacked with a spray
noter,Observer
peter,"Dwindle, with ""out"""
sal,"""Savage Streets"" actor Landi"
talus,Anklebone
imean,"""Er ... um ..."""
limbs,Extensions
domes,"Bubbletops, e.g."
girls,HBO comedy/drama
unisex,"For all, as a restroom"
setter,Volleyball player
crispy,Fried chicken choice
precept,Commandment
eros,Love child?
natter,Gab
laval,Montreal university
decade,Score at the half?
quests,Knightly pursuits
sis,Sibling nickname
roster,Team names
scans,Pictures put into computers
arks,Asylums
burros,Pack animals
annals,Chronicles
utes,Western tribe
roans,Some horses
stpats,Tourist attraction on N.Y.C.'s Fifth Ave.
sweeper,Janitor
sops,Concessions
int,Bankbook entry: Abbr.
raptor,"""Jurassic Park"" menace"
lading,Pier group work
less,Subtracted by
armey,House majority leader before DeLay
aves,Pennsylvania and others: Abbr.
payday,"Biweekly occurrence, for many"
elis,Certain Ivy Leaguers
ispy,Kids' guessing game
unlace,"Prepare to slip out of, perhaps"
topsy,___-turvy
integer,It has no point
dee,65 or so
sifted,Went (through)
encore,Rerun of a telecast
inge,"""Splendor in the Grass"" Oscar winner"
sly,"Stallone, to pals"
ardor,Fire
spy,One may bug you
bos,Jackson and Derek
phaser,Futuristic weapon
tass,Provider for Pravda
idos,Wedding pair
deltoid,Shoulder muscle
color,"Walnut, e.g."
oaths,Requirements for witnesses
ods,Some serious hosp. cases
togs,Clothes
miter,Bishop's headgear
olds,Futuramic of the late 40's and early 50's
corned,___ beef
gpas,Nos. representing years' worth of letters
alas,"""Oh, woe!"""
unmade,"Still rumpled, as a bed"
able,Cutting it
veiled,Hidden
ipos,Some W.S.J. topics
yens,Longings
essays,Parts of college applications
keyed,Attuned
enacted,Passed
jockey,Big name in underwear
ento,Inner: Prefix
booed,Like the bad guy
odes,Sapphic verses
prep,Ready
rene,Painter Magritte
five,Half a sawbuck
mils,Minuscule lengths
smears,Speaks ill of
texas,Paris site
wry,Crooked
tongs,Server's tool
caress,Sign of affection
steerer,One at the helm
petal,"""She loves me, she loves me not ..."" flower part"
leans,Tilts
enter,Stage direction
oranges,Major export of Florida
looms,Is in the offing
pal,Crony
zees,Sleep symbols
edsels,Rangers and Corsairs
obies,"Annual spring ceremony, with ""the"""
int,Bank fig.
armlets,Decorative bands
stayed,Didn't take off
ref,"Target of the heckle ""What game are you watching?!"""
undo,Word processing command
sass,Disrespect
quay,Shoreline structure
dantes,"""___ Peak"" (1997 Pierce Brosnan film)"
comas,Unconscious states
remove,Eliminate
aromas,Bouquets
hoyas,Big East team
hier,Yves's yesterday
steady,Like a good surgeon's hands
des,Start of some French surnames
seeress,Prophet
hal,Country singer Ketchum
ovals,Most toilet seats
ems,Ambulance letters
decease,Pass on
ers,Audible pauses
icky,"Eliciting an ""Eww!"""
grits,Boiled breakfast dish
uss,Abbr. before many state names
newts,Semiaquatic salamanders
bass,Deep end?
worded,Phrased
ones,Singles
whaled,Hunted a la Ahab
pvts,A lot of mil. personnel
ebay,Its first sale was a broken laser pointer
defs,O.E.D. stuff
ben,It's big in London
elms,Shade trees
ars,___ subtilior (musical style)
worsts,Razzie Award winners
squats,Leg-building set
baer,1930s boxing champ Max
rhys,"Novelist Jean who wrote ""Wide Sargasso Sea"""
into,Word with look or back
earls,"Robert Crawley and his father before him, on ""Downton Abbey"""
zebras,"Football officials, slangily"
rem,"""What's the Frequency, Kenneth?"" band"
preys,Emulates raptors
cedes,Yields
debs,Ball belles
oros,Prizes for top atletas
bffs,People who are totes close
reenter,"Confirm, as an email address"
pets,Subject of a hotel policy
creoles,Some Louisianans
uni,Prefix with -form
decals,"Vehicle stickers, e.g."
arts,Bachelor of ___
irs,Returns letters?
reshoot,Directorial demand
braces,Orthodontist's recommendation
lashed,Whipped
ion,It's charged
skips,Passes up
eos,Aurora's Greek counterpart
risked,Put up
ken,"Watanabe of ""The Last Samurai"""
resist,Stand up to
poors,Standard partner
besots,Stupefies
raven,"""Nevermore"" quoter"
seeress,Woman with a future?
nor,Prefix with epinephrine
iris,Eye part
was,Used to be
gen,___-X
emmy,Lucci's elusive prize
smiled,Flashed one's pearly whites
dern,Bruce or Laura of Hollywood
duped,Took in
eden,Blissful spot
unit,Hand or foot
steals,Baseball stat
sepal,Calyx component
oodles,A large quantity
eggy,Like frittatas
reys,Actor Fernando et al.
pecs,What bench presses enhance
seedbed,Groundwork of a plant manager?
vital,Needed
elmer,Big name in bonding
hos,Jolly sounds
loner,Hardly a people person
res,In medias ___
soy,Oil source
wes,Jazzman Montgomery
unix,System used by servers
emery,Filing aid
dell,Big name in computers
rosy,Pink
nonu,"Bourgeois, to a Brit"
unapt,Inappropriate
rehab,Place to get clean
ads,Some Instagram feed posts
boards,College ___
iams,Brand with a paw print in its logo
precede,Lead
into,Loving
leery,"Once bitten, say"
ray,Bit of sunshine
bops,Dances to jazz
airs,Goes on TV
under,Working for
ink,Well contents
ccs,Solution amts.
spewers,Some volcanoes
lizards,"Chameleons, e.g."
uncles,"Remus and Sam, e.g."
dyer,Textile worker
less,Not so much
asps,Egyptian vipers
areas,Regions
grilles,Parts of humidifiers
lodged,Stuck
seventy,"Pretty fast, on the highway"
borer,Drill
omen,"*Black cat, supposedly"
sassy,Full of attitude
ones,Singles
rorys,Actors Calhoun and O'Brien
rehab,2007's Record of the Year by Amy Winehouse
unreal,Fictitious
tithes,"Bestows 10%, say, in church"
ames,Traitor Aldrich
igor,Frankenstein's assistant
maps,Cartographic products
rhos,"P P P, in Greek"
usher,Helper at a wedding
cocks,"Readies, as a firearm"
etes,Seasons in Lyon
arisen,Up
relic,Archaeologist's treasure
allures,Draws
chides,Upbraids
baled,In bundles
tuner,"Piano man, maybe"
beaus,"Bouquet offerers, maybe"
unmet,Not satisfied
weed,"Tobacco, slangily"
oner,Jim-dandy
pbs,"""Masterpiece Theatre"" airer"
ptas,"Class boosters, for short"
redux,Brought back
was,"""Till There ___ You,"" song from ""The Music Man"""
animal,Brute
dearme,"""My stars!"""
scorns,Puts down
moguls,Big wheels
halas,Legendary Chicago Bears coach George
aroused,Angry
raps,Emulates Eminem
oohed,Expressed amazement
amway,Home products seller
for,Pro
ankles,They can be twisted
oceans,Atlantic and Pacific
amperes,Current units
ets,"Many figures in the ""Doctor Who"" universe, for short"
blobs,Splotches
rigors,Hardships
ailey,Choreographer Alvin
rene,"Russo of ""Thor: The Dark World"""
deism,Basic religious belief
engel,TV foreign correspondent Richard
ted,Ohio governor Strickland
frets,Guitar ridges
eries,Native New Yorkers
badeggs,No-goodniks
tess,"___ Trueheart, Dick Tracy's love"
souter,Brennan's successor on the Supreme Court
ars,"""___ Poetica"""
slumber,Dormancy
eerier,More mysterious
enrage,Provoke
untrod,Not printed up?
shaper,Former
liters,Soda bottle units
carefor,Wait on
answers,Certain secrets
arness,"""Gunsmoke"" star James"
jaws,Best Picture nominee with three sequels
acts,Is a cast member
roils,Disquiets
